City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,jianshui,23.6363,102.8264,283.85,87,19,1.63,CN,1707667786
1,sisimiut,66.9395,-53.6735,254.89,89,100,1.2,GL,1707667786
2,vilhena,-12.7406,-60.1458,295.26,98,100,1.76,BR,1707667786
3,puerto ayora,-0.7393,-90.3518,303.13,92,49,4.02,EC,1707667786
4,dudinka,69.4058,86.1778,239.08,97,53,0.89,RU,1707667786
5,mitsamiouli,-11.3847,43.2844,301.71,79,61,3.15,KM,1707667786
6,adamstown,-25.066,-130.1015,298.24,89,100,8.91,PN,1707667786
7,iqaluit,63.7506,-68.5145,249.09,69,97,3.73,CA,1707667719
8,luganville,-15.5333,167.1667,298.86,85,5,3.37,VU,1707667797
9,stanley,54.868,-1.6985,279.97,91,20,6.69,GB,1707667797
10,vangaindrano,-23.35,47.6,298.67,90,81,3.5,MG,1707667797
11,port-aux-francais,-49.35,70.2167,282.03,93,31,17.92,TF,1707667797
12,grytviken,-54.2811,-36.5092,278.45,92,36,5.16,GS,1707667797
13,hawaiian paradise park,19.5933,-154.9731,293.17,96,20,0.45,US,1707667804
14,saint-pierre,-21.3393,55.4781,299.97,83,0,8.75,RE,1707667804
15,kristiansund,63.1115,7.732,271.51,64,0,2.57,NO,1707667804
16,pesaro,43.9036,12.8903,287.58,65,56,0.89,IT,1707667810
17,margaret river,-33.95,115.0667,290.72,83,6,7.19,AU,1707667811
18,waitangi,-43.9535,-176.5597,284.72,82,100,1.79,NZ,1707667725
19,ilulissat,69.2167,-51.1,255.16,71,40,4.12,GL,1707667812
20,anadyr,64.75,177.4833,248.43,77,40,5.0,RU,1707667812
21,encheng,22.1839,112.3026,287.77,49,16,0.72,CN,1707667812
22,callao,-12.0667,-77.15,300.31,69,75,4.63,PE,1707667812
23,constantia,44.1833,28.65,288.53,67,100,10.13,RO,1707667812
24,abadeh,31.1608,52.6506,280.75,25,15,1.55,IR,1707667813
25,novodvinsk,64.4165,40.8122,253.01,97,95,1.84,RU,1707667813
26,la sarre,48.8002,-79.1996,266.38,84,98,3.95,CA,1707667813
27,mejit,10.2753,170.8646,299.19,77,99,10.63,MH,1707667814
28,luderitz,-26.6481,15.1594,295.25,71,2,3.85,NA,1707667814
29,fort bragg,35.139,-79.006,292.49,79,100,6.69,US,1707667751
30,invercargill,-46.4,168.35,284.27,83,100,1.79,NZ,1707667814
31,gutierrez zamora,20.45,-97.0833,305.05,77,0,1.88,MX,1707667680
32,kourou,5.1552,-52.6478,302.18,54,60,3.86,GF,1707667814
33,al fqih ben calah,32.5009,-6.6906,294.06,46,1,3.16,MA,1707667815
34,bel ombre,-4.6167,55.4167,302.16,71,37,6.35,SC,1707667815
35,isafjordur,66.0755,-23.124,275.17,64,40,4.12,IS,1707667815
36,monrovia,6.3005,-10.7969,303.21,68,27,5.79,LR,1707667816
37,qarazhal,48.0078,70.7903,253.08,100,35,1.66,KZ,1707667816
38,xining,36.6167,101.7667,268.51,55,0,1.2,CN,1707667817
39,san andres,12.5847,-81.7006,302.16,74,20,7.2,CO,1707667818
40,quellon,-43.1167,-73.6167,291.22,59,99,3.79,CL,1707667818
41,yellowknife,62.456,-114.3525,260.13,84,100,2.68,CA,1707667721
42,metlili chaamba,32.2667,3.6333,293.67,23,12,9.77,DZ,1707667819
43,atafu village,-8.5421,-172.5159,299.78,88,100,7.44,TK,1707667819
44,nar'yan-mar,67.6713,53.087,242.65,100,46,1.79,RU,1707667819
45,navolato,24.7672,-107.6944,288.25,54,0,3.25,MX,1707667819
46,nadvoitsy,63.8667,34.3167,251.22,100,61,1.52,RU,1707667820
47,viitasaari,63.0667,25.8667,254.4,100,77,1.26,FI,1707667820
48,college,64.8569,-147.8028,268.33,73,75,2.06,US,1707667820
49,klyuchi,52.2667,79.1667,260.39,86,60,5.26,RU,1707667821
50,egbe,8.2167,5.5167,310.24,14,40,2.12,NG,1707667821
51,edinburgh of the seven seas,-37.0676,-12.3116,290.79,72,17,7.87,SH,1707667821
52,san jose de jachal,-30.2406,-68.7469,301.03,50,37,2.56,AR,1707667822
53,'ain el melh,34.8415,4.1638,285.07,45,61,11.87,DZ,1707667822
54,puerto natales,-51.7236,-72.4875,285.4,54,75,8.75,CL,1707667823
55,blackmans bay,-43.0167,147.3167,287.44,86,100,1.73,AU,1707667823
56,udachny,66.4167,112.4,240.16,98,100,3.1,RU,1707667823
57,bethel,41.3712,-73.414,280.66,67,0,2.57,US,1707667758
58,papatowai,-46.5619,169.4708,284.77,77,100,3.63,NZ,1707667824
59,aykhal,66.0,111.5,237.11,99,100,3.24,RU,1707667825
60,talnakh,69.4865,88.3972,241.48,84,10,1.41,RU,1707667825
61,flying fish cove,-10.4217,105.6791,298.97,88,40,1.54,CX,1707667826
62,goure,13.9835,10.2704,306.49,6,25,1.79,NE,1707667826
63,wewak,-3.5534,143.6268,298.65,91,100,2.75,PG,1707667826
64,ushuaia,-54.8,-68.3,282.94,87,75,11.32,AR,1707667827
65,buta,2.7858,24.73,305.76,38,99,0.27,CD,1707667827
66,piriapolis,-34.8682,-55.2744,304.24,74,20,4.63,UY,1707667828
67,arraial do cabo,-22.9661,-42.0278,305.07,55,0,10.29,BR,1707667828
68,ginir,7.1333,40.7,294.0,42,68,3.56,ET,1707667829
69,kolokani,13.5728,-8.0339,310.56,4,0,2.56,ML,1707667829
70,graaff-reinet,-32.2522,24.5308,304.22,25,0,4.89,ZA,1707667829
71,lospalos,-8.5186,127.0025,297.03,90,92,5.56,TL,1707667830
72,lata,40.1629,-8.3327,285.41,86,100,3.06,PT,1707667830
73,susuman,62.7833,148.1667,238.65,100,100,0.95,RU,1707667830
74,mahibadhoo,3.7833,72.9667,300.91,80,73,9.15,MV,1707667831
75,new norfolk,-42.7826,147.0587,288.1,94,100,1.07,AU,1707667831
76,san antonio de pale,-1.4014,5.6325,301.78,78,81,3.26,GQ,1707667702
77,tazovsky,67.4667,78.7,241.0,98,59,2.82,RU,1707667832
78,port mathurin,-19.6833,63.4167,300.63,83,100,7.32,MU,1707667832
79,trairi,-3.2778,-39.2689,300.88,83,100,4.06,BR,1707667726
80,albany,42.6001,-73.9662,278.39,69,100,0.89,US,1707667812
81,baia,47.4167,26.2167,286.45,51,100,2.09,RO,1707667833
82,bredasdorp,-34.5322,20.0403,296.11,53,0,8.07,ZA,1707667833
83,chateaudun,48.0833,1.3333,283.23,81,85,8.14,FR,1707667834
84,punta arenas,-53.15,-70.9167,284.21,66,100,8.23,CL,1707667834
85,lihue,21.9789,-159.3672,292.73,86,75,2.57,US,1707667834
86,plettenberg bay,-34.0527,23.3716,295.03,67,0,4.08,ZA,1707667835
87,selfoss,63.9331,-20.9971,270.57,67,92,5.6,IS,1707667835
88,san patricio,28.017,-97.5169,296.2,70,100,6.87,US,1707667835
89,rangapara,26.8167,92.65,290.17,48,3,2.19,IN,1707667835
90,hermanus,-34.4187,19.2345,301.37,47,1,8.69,ZA,1707667836
91,butte,39.6499,-121.5677,279.92,65,0,1.54,US,1707667836
92,south sioux city,42.4739,-96.4136,274.3,72,0,4.12,US,1707667836
93,puerto aysen,-45.4,-72.7,285.73,98,100,2.57,CL,1707667836
94,port elizabeth,-33.918,25.5701,298.76,72,0,4.92,ZA,1707667837
95,kerikeri,-35.2268,173.9474,284.21,88,0,2.81,NZ,1707667837
96,regeneracao,-6.2378,-42.6883,297.29,86,100,2.03,BR,1707667837
97,saipan,15.1355,145.701,299.54,73,40,5.14,MP,1707667837
98,georgetown,5.4112,100.3354,302.11,58,20,5.66,MY,1707667643
99,uturoa,-16.7333,-151.4333,300.49,86,100,6.18,PF,1707667838
100,agat village,13.3886,144.6585,299.67,81,40,4.63,GU,1707667838
101,vernon,50.2581,-119.2691,274.12,92,100,0.27,CA,1707667838
102,st. john's,47.5649,-52.7093,278.23,75,100,1.79,CA,1707667839
103,nova vicosa,-17.8919,-39.3719,302.55,64,17,4.48,BR,1707667839
104,itaituba,-4.2761,-55.9836,304.31,59,100,1.97,BR,1707667839
105,kirakira,-10.4544,161.9205,299.46,86,74,4.98,SB,1707667839
106,longyearbyen,78.2186,15.6401,266.06,79,75,1.54,SJ,1707667840
107,petauke,-14.2426,31.3253,296.13,79,100,0.83,ZM,1707667840
108,brisas de zicatela,15.8369,-97.0419,300.13,66,1,2.25,MX,1707667840
109,acapulco de juarez,16.8634,-99.8901,301.05,65,0,0.0,MX,1707667796
110,ust-nera,64.5667,143.2,241.56,99,99,1.66,RU,1707667841
111,saint-joseph,-21.3667,55.6167,299.36,86,35,4.62,RE,1707667841
112,west island,-12.1568,96.8225,302.14,79,40,5.66,CC,1707667841
113,lazaro cardenas,17.9583,-102.2,298.79,66,4,0.37,MX,1707667841
114,humaita,-7.5061,-63.0208,298.7,92,100,1.64,BR,1707667569
115,divino das laranjeiras,-18.7778,-41.4797,301.52,66,57,3.33,BR,1707667841
116,praia da vitoria,38.7333,-27.0667,292.29,88,40,12.0,PT,1707667842
117,la oliva,28.6105,-13.9291,294.77,73,20,6.17,ES,1707667842
